Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
UMULTOWO (56),56,15,26/29,56/15/26/29,0.0406,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,15,26/27,56/15/26/27,0.0465,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,15,25/44,56/15/25/44,0.0344,Zarząd Dróg Miejskich   ,
DĘBIEC (60),60,06,12/4,60/06/12/4,0.1187,Zespół Poradni Psychologiczno-Pedagogicznych nr 2   ,2016-10-12T04:00:00+02:00
DĘBIEC (60),60,18,19/4,60/18/19/4,0.1348,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
DĘBIEC (60),60,18,20/6,60/18/20/6,5.0083,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
DĘBIEC (60),60,16,38/41,60/16/38/41,0.31,"Przedszkole Nr 65 ""Wiolinek""   ",
DĘBIEC (60),60,18,13/11,60/18/13/11,7.58,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
DĘBIEC (60),60,15,165,60/15/165,0.3387,Zespół Szkolno-Przedszkolny Nr 3   ,
DĘBIEC (60),60,17,1/1,60/17/1/1,1.2697,Szkoła Aspirantów Państwowej Straży Pożarnej   ,
DĘBIEC (60),60,19,18/12,60/19/18/12,0.5561,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,01,3/3,60/01/3/3,0.0138,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,01,3/1,60/01/3/1,0.0451,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,07,100/6,60/07/100/6,0.1405,Bursa Szkolna nr 2   ,
DĘBIEC (60),60,36,4/7,60/36/4/7,0.0042,Generalna Dyrekcja Dróg Krajowych i Autostrad   ,
DĘBIEC (60),60,29,86,60/29/86,0.0055,Zarząd Zieleni Miejskiej   ,2018-05-05T04:00:00+02:00
DĘBIEC (60),60,04,1/8,60/04/1/8,0.452,Wielkopolski Urząd Wojewódzki   ,
DĘBIEC (60),60,17,1/2,60/17/1/2,1.3982,Szkoła Podstawowa nr 84 im.Tadeusza Kościuszki   ,2018-10-04T04:00:00+02:00
DĘBIEC (60),60,04,1/15,60/04/1/15,0.004,Wielkopolski Urząd Wojewódzki   ,
